bookID,title,authors,average_rating,isbn,isbn13,language_code,# num_pages,ratings_count,text_reviews_count,genre
792,london city guide lonely planet city guide,"['lonely planet', 'sarah johnstone', 'tom masters']",4.03,1740598318,9781740598316,eng,466,38,5,['travel']
797,lonely planet londres,"['lonely planet', 'sarah johnstone', 'tom masters']",4.03,8408064762,9788408064763,spa,480,0,0,['travel']
815,three nights august strategy heartbreak joy inside mind manager,['bissinger'],3.87,0618710531,9780618710539,eng,287,6560,235,['sports recreation']
828,interface,"['neal stephenson', 'george jewsbury', 'stephen bury']",3.67,0553383434,9780553383430,eng,640,4572,259,['fiction']
830,snow crash,['neal stephenson'],4.03,0553380958,9780553380958,eng,438,187493,6601,['fiction']
880,pompeii,['robert harris'],3.81,0812974611,9780812974614,eng,304,25729,1633,['fiction']
890,mice men,['john steinbeck'],3.86,0142000671,9780142000670,eng,112,1654353,23959,['fiction']
941,love foreign language,"['torres', 'eric kim']",3.44,1932664394,9781932664393,eng,58,9,2,['comics graphic novels']
977,deception point,['dan brown'],3.7,0552151769,9780552151764,eng,585,3213,178,['americans']
1120,body life weeks mental physical strength,"['bill phillips', 'michael orso']",3.73,0060193395,9780060193393,en-US,201,3806,275,['health fitness']
1121,body life women woman plan physical mental transformation,"['pamela peeke', 'cindy crawford']",3.63,1579546013,9781579546014,en-US,288,398,63,['health fitness']
1169,monkey business,['sarah mlynowski'],3.66,0373250711,9780373250714,eng,400,3250,68,['fiction']
1191,giada family dinners,"['giada laurentiis', 'victoria pearson']",3.96,030723827X,9780307238276,eng,256,13866,73,['cooking']
1193,everyday pasta,"['giada laurentiis', 'victoria pearson']",4.09,0307346587,9780307346582,eng,240,8719,54,['cooking']
1196,tyler ultimate brilliant simple food make time,"['tyler florence', 'petrina tinslay']",4.1,1400052386,9781400052387,eng,256,3586,33,['cooking']
1206,freakonomics rogue economist explores hidden side everything,"['steven levitt', 'stephen dubner']",3.96,0061245135,9780061245138,en-US,496,94,5,['business economics']
1217,collapse,['jared diamond'],3.93,0739455354,9780739455357,eng,525,19,0,['environmental policy']
1218,last assassin john rain,['barry eisler'],4.25,0399153594,9780399153594,eng,338,179,22,['fiction']
1227,vida,['yann martel'],3.9,8423335127,9788423335121,spa,323,52,8,['fiction']
1241,million little pieces,['james frey'],3.63,0307276902,9780307276902,eng,432,195863,10669,['biography autobiography']
1243,million little lies,"['james pinocchio', 'pablo fenjves']",3.4,0061171468,9780061171468,en-US,191,200,24,['humor']
1280,men mars women venus practical guide improving communication getting want,['john gray'],3.54,0722538448,9780722538449,en-GB,286,100,9,['communication']
1290,succeed women,"['ron louis', 'david copeland']",3.77,0735200300,9780735200302,en-US,320,80,12,['family relationships']
1301,moneyball art winning unfair game,['michael lewis'],4.26,0393324818,9780393324815,eng,317,78308,4002,['business economics']
1305,gates fire epic novel battle thermopylae,['steven pressfield'],4.41,055338368X,9780553383683,eng,392,20649,1530,['fiction']
1306,gates fire,['steven pressfield'],4.41,0553812165,9780553812169,en-US,523,316,31,['greece']
1307,fire sea death gate cycle,"['margaret weis', 'tracy hickman']",4.06,0553295411,9780553295412,eng,414,15900,173,['fiction']
1312,gate fire oath empire book two,['thomas harlan'],3.58,0812590104,9780812590104,en-US,721,143,5,['fiction']
1317,tides war,['steven pressfield'],3.89,0553381393,9780553381399,eng,448,3285,150,['fiction']
1322,blood stripes grunt view war iraq,"['david danelo', 'steven pressfield']",3.88,0811701646,9780811701648,eng,340,79,6,['history']
1327,phaedrus,"['plato', 'robin waterfield']",3.91,0192802771,9780192802774,eng,128,27,5,['philosophy']
1331,babrius phaedrus fables loeb classical library 436,"['babrius', 'phaedrus', 'ben edwin perry']",4.31,0674994809,9780674994805,eng,736,16,2,['aesop fables']
1338,love lysis symposium phaedrus alcibiades selections republic laws,"['plato', 'reeve']",4.05,0872207889,9780872207882,eng,272,146,4,['philosophy']
1354,gorgias,"['plato', 'walter hamilton', 'chris emlyn', 'jones']",3.95,0140449043,9780140449044,en-GB,208,7840,180,['philosophy']
1365,histories,"['herodotus', 'carolyn dewald', 'robin waterfield']",3.98,0192824252,9780192824257,eng,772,265,39,['history']
1371,iliad,"['homer', 'robert fagles', 'bernard knox']",3.85,0140275363,9780140275360,eng,683,275201,3218,['poetry']
1377,iliad,"['homer', 'rouse']",3.85,0451527372,9780451527370,en-US,312,151,14,['fiction']
1402,eclogues georgics aeneid books,"['virgil', 'henry rushton fairclough', 'goold']",4.31,067499583X,9780674995833,mul,607,368,10,['agriculture']
1405,eclogues georgics,"['virgil', 'cecil day', 'lewis']",3.82,0192837680,9780192837684,eng,180,237,14,['agriculture']
1408,paul kirk championship barbecue sauces 175 make sauces marinades dry rubs wet rubs mops salsas,['paul kirk'],3.9,155832125X,9781558321250,eng,272,52,0,['cooking']
1417,complete pelican shakespeare,"['william shakespeare', 'stephen orgel', 'braunmuller']",4.59,0141000589,9780141000589,eng,1808,559,25,"['drama', 'drama']"
1428,river piedra sat wept,"['paulo coelho', 'alan clarke']",3.57,0061122092,9780061122095,eng,208,68403,2644,['fiction']
1438,shakespeare hamlet,"['william shakespeare', 'terri mategrano']",4.04,0764585681,9780764585685,eng,240,98,16,['drama']
1439,hamlet mill essay investigating origins human knowledge transmission myth,"['giorgio santillana', 'hertha von dechend']",4.27,0879232153,9780879232153,eng,450,458,52,['philosophy']
1445,peloponnesian war,"['thucydides', 'steven lattimore']",3.89,0872203948,9780872203945,eng,530,151,23,['history']
1449,peloponnesian war new translation backgrounds interpretations,"['thucydides', 'jennifer tolbert roberts', 'walter blanco']",3.89,0393971678,9780393971675,eng,554,24,4,['history']
1465,euripides rhesus suppliant women orestes iphigenia aulis,"['euripides', 'david grene', 'richmond lattimore', 'william arrowsmith', 'frank william jones', 'charles walker']",4.21,0226307832,9780226307831,eng,307,546,8,['drama']
1486,trojan women hippolytus,['euripides'],3.56,0486424626,9780486424620,eng,64,31,4,['drama']
1489,orestes plays,"['euripides', 'james morwood', 'robin waterfield']",4.07,0192832603,9780192832603,eng,282,146,2,['literary criticism']
1509,trojan women iphigenia among taurians ion,"['euripides', 'david kovacs']",3.97,0674995740,9780674995741,eng,528,27,2,['alcestis greek mythology']
1511,euripides iphigenia aulis companions greek roman tragedy,"['euripides', 'pantelis michelakis']",4.02,0715629948,9780715629949,eng,144,12,1,['drama']
1515,complete greek tragedies volume euripides,"['euripides', 'david grene', 'richmond lattimore']",4.48,0226307662,9780226307664,eng,672,46,7,['drama']
1517,aeschylus suppliant maidens persians seven thebes prometheus bound complete greek tragedies,"['aeschylus', 'david grene', 'richmond lattimore', 'seth benardete']",4.1,0226307948,9780226307947,eng,188,382,25,"['aeschylus', 'aeschylus']"
1525,oresteia,"['aeschylus', 'ted hughes']",4.01,0374527059,9780374527051,en-US,208,211,25,['drama']
1538,complete plays,"['sophocles', 'paul roche']",4.27,0451527844,9780451527844,eng,420,2856,37,['drama']
1540,oedipus cycle oedipus rex oedipus colonus antigone,"['sophocles', 'robert fitzgerald', 'dudley fitts']",3.97,015602764X,9780156027649,eng,259,44470,672,['drama']
1542,three theban plays antigone oedipus king oedipus colonus,"['sophocles', 'robert fagles', 'bernard knox']",3.97,0140444254,9780140444254,eng,430,2825,271,"['drama', 'drama']"
1559,oedipus king,"['sophocles', 'bernard knox', 'cynthia brantley johnson']",3.69,1416500332,9781416500339,eng,144,706,49,['drama']
1561,three plays aristophanes lysistrata women thesmophoria assemblywomen,"['aristophanes', 'jeffrey henderson']",3.92,0415907446,9780415907446,eng,256,93,6,['drama']
1566,clouds wasps birds aristophanes,"['aristophanes', 'peter meineck']",3.76,0872203611,9780872203617,eng,480,1,0,['drama']
1577,four comedies lysistrata frogs birds ladies day,"['aristophanes', 'dudley fitts']",4.03,0156027658,9780156027656,eng,400,14,2,['drama']
1585,aristophanes athens introduction plays,['douglas macdowell'],4.07,0198721595,9780198721598,eng,376,14,3,['drama']
1592,knights peace birds assembly women wealth,"['aristophanes', 'alan sommerstein', 'david barrett', 'david brett']",3.79,0140443320,9780140443325,en-US,335,39,1,['athens']
1627,brokeback mountain,['annie proulx'],3.94,0743271327,9780743271325,eng,55,23424,1595,['fiction']
1635,execution discipline getting things done,"['larry bossidy', 'ram charan', 'charles burck']",3.86,0609610570,9780609610572,en-US,278,21120,337,['business economics']
1684,city god,"['augustine hippo', 'thomas merton', 'marcus dods']",3.92,0679783199,9780679783190,eng,905,99,15,['religion']
1685,enchiridion faith hope love augustine series,"['augustine hippo', 'bruce harbert', 'john rotelle']",4.04,1565481240,9781565481244,eng,144,251,19,['religion']
1686,augustine hippo biography,['peter brown'],4.27,0520227573,9780520227576,en-US,576,1557,95,['biography autobiography']
1692,political writings augustine,"['augustine hippo', 'henry paolucci', 'dino bigongiari']",3.83,0895269414,9780895269416,eng,384,0,0,"['political science', 'political science']"
1703,augustine short introduction,['henry chadwick'],3.74,0192854526,9780192854520,eng,144,219,31,['religion']
1722,latin via ovid first course,"['norma goldman', 'jacob nyenhuis']",4.38,0814317324,9780814317327,en-US,524,76,8,['foreign language study']
1750,dionysiac poetics euripides bacchae,['charles segal'],4.62,069101597X,9780691015972,eng,440,12,0,['literary criticism']
1752,antigone,"['sophocles', 'reginald gibbons', 'charles segal']",3.63,0195143108,9780195143102,eng,197,33,5,['literary criticism']
1800,love sex tragedy ancient world shapes lives,['simon goldhill'],3.76,0226301192,9780226301198,eng,345,120,15,['history']
